timestamp,test-class,test-method,time,description,result
2021-06-24 15:25:53.201,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listAll,4717,"[1] publicTasks=4, privateTasks=4, finishedTasks=3, nonFinishedTasks=5, averageWorkFlow=5.44, deviationWorkFlow=7.90, maxWorkFlow=26.00, minWorkFlow=0.00, averageExecutionPeriod=14.88, deviationExecutionPeriod=59.50, maxExecutionPeriod=119.00, minExecutionPeriod=0.00",OK
2021-06-24 15:25:53.96,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listNegative,377,"[1] username=null, password=null",OK
2021-06-24 15:25:57.774,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listNegative,3483,"[2] username=manager3, password=manager3",OK
2021-06-24 15:26:02.336,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,shoutDashboard,4309,"[1] totalShouts=2, ratioTrue=0.50, ratioEUR=0.00, EURavg=10.00, USDavg=45.00, EURdev=0.00, USDdev=0.00",OK
2021-06-24 15:26:16.679,acme.testing.administrator.task.AdministratorTaskDashBoardTestCase,listAll,4427,"[1] publicTasks=12, privateTasks=6, finishedTasks=6, nonFinishedTasks=12, averageWorkFlow=3.11, deviationWorkFlow=5.43, maxWorkFlow=25.00, minWorkFlow=1.00, averageExecutionPeriod=163.00, deviationExecutionPeriod=147.43, maxExecutionPeriod=372.00, minExecutionPeriod=0.00",OK
2021-06-24 15:26:17.321,acme.testing.administrator.task.AdministratorTaskDashBoardTestCase,listNegative,340,"[1] username=null, password=null",OK
2021-06-24 15:26:21.132,acme.testing.administrator.task.AdministratorTaskDashBoardTestCase,listNegative,3526,"[2] username=manager3, password=manager3",OK
2021-06-24 15:26:25.666,acme.testing.administrator.task.AdministratorTaskDashBoardTestCase,shoutDashboard,4218,"[1] totalShouts=2, ratioTrue=0.50, ratioEUR=0.00, EURavg=10.00, USDavg=45.00, EURdev=0.00, USDdev=0.00",OK
2021-06-24 15:26:37.008,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1766,"[1] recordIndex=1, author=Pablo Gonzalez, text=Buenas tardes., info=https://www.facebook.com, moment=2021/06/07 15:55, domemi=Stamp:21:DM:06:00001:07; Deadline:2021-06-15 15:55:00.0; Budget:<<EUR 10.00>>; Important:true",OK
2021-06-24 15:26:39.018,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1701,"[2] recordIndex=0, author=Jose Luis, text=Buenas noches, info=https://www.xataka.com, moment=2021/06/08 15:55, domemi=Stamp:21:DM:06:00002:08; Deadline:2021-06-17 15:55:00.0; Budget:<<USD 45.00>>; Important:false",OK
2021-06-24 15:26:43.004,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,3699,"[1] username=administrator, password=administrator",OK
2021-06-24 15:26:46.996,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,3648,"[2] username=manager2, password=manager2",OK
2021-06-24 15:27:01.032,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4153,"[1] recordIndex=0, author=Señor prueba, text=Hola soy una prueba, info=https://www.example.com, moment=2021/07/02 15:00, money=EUR 17.45, b=true, sheet=; Deadline:2021-07-02 15:00:00.0; Budget:<<EUR 17.45>>; Important:true",OK
